car_id,brand,fueltype,carbody,wheelbase,carlength,carwidth,carheight,enginesize,boreratio,stroke,horsepower,peakrpm,citympg,highwaympg,price
1,alfa-romero,gas,convertible,88.6,168.8,64.1,48.8,130,3.47,2.68,111,5000,21,27,13495
2,alfa-romero,gas,convertible,88.6,168.8,64.1,48.8,130,3.47,2.68,111,5000,21,27,16500
3,alfa-romero,gas,hatchback,94.5,171.2,65.5,52.4,152,2.68,3.47,154,5000,19,26,16500
4,audi,gas,sedan,99.8,176.6,66.2,54.3,109,3.19,3.4,102,5500,24,30,13950
5,audi,gas,sedan,99.4,176.6,66.4,54.3,136,3.19,3.4,115,5500,18,22,17450
6,audi,gas,sedan,99.8,177.3,66.3,53.1,136,3.19,3.4,110,5500,19,25,15250
7,audi,gas,sedan,105.8,192.7,71.4,55.7,136,3.19,3.4,110,5500,19,25,17710
8,audi,gas,wagon,105.8,192.7,71.4,55.7,136,3.19,3.4,110,5500,19,25,18920
9,audi,gas,sedan,105.8,192.7,71.4,55.9,131,3.13,3.4,140,5500,17,20,23875
10,audi,gas,hatchback,99.5,178.2,67.9,52,131,3.13,3.4,160,5500,16,22,17859.167
11,bmw,gas,sedan,101.2,176.8,64.8,54.3,108,3.5,2.8,101,5800,23,29,16430
12,bmw,gas,sedan,101.2,176.8,64.8,54.3,108,3.5,2.8,101,5800,23,29,16925
13,bmw,gas,sedan,101.2,176.8,64.8,54.3,164,3.31,3.19,121,4250,21,28,20970
14,bmw,gas,sedan,101.2,176.8,64.8,54.3,164,3.31,3.19,121,4250,21,28,21105
15,bmw,gas,sedan,103.5,189,66.9,55.7,164,3.31,3.19,121,4250,20,25,24565
16,bmw,gas,sedan,103.5,189,66.9,55.7,209,3.62,3.39,182,5400,16,22,30760
17,bmw,gas,sedan,103.5,193.8,67.9,53.7,209,3.62,3.39,182,5400,16,22,41315
18,bmw,gas,sedan,110,197,70.9,56.3,209,3.62,3.39,182,5400,15,20,36880
19,chevrolet,gas,hatchback,88.4,141.1,60.3,53.2,61,2.91,3.03,48,5100,47,53,5151
20,chevrolet,gas,hatchback,94.5,155.9,63.6,52,90,3.03,3.11,70,5400,38,43,6295
21,chevrolet,gas,sedan,94.5,158.8,63.6,52,90,3.03,3.11,70,5400,38,43,6575
22,dodge,gas,hatchback,93.7,157.3,63.8,50.8,90,2.97,3.23,68,5500,37,41,5572
23,dodge,gas,hatchback,93.7,157.3,63.8,50.8,90,2.97,3.23,68,5500,31,38,6377
24,dodge,gas,hatchback,93.7,157.3,63.8,50.8,98,3.03,3.39,102,5500,24,30,7957
25,dodge,gas,hatchback,93.7,157.3,63.8,50.6,90,2.97,3.23,68,5500,31,38,6229
26,dodge,gas,sedan,93.7,157.3,63.8,50.6,90,2.97,3.23,68,5500,31,38,6692
27,dodge,gas,sedan,93.7,157.3,63.8,50.6,90,2.97,3.23,68,5500,31,38,7609
28,dodge,gas,sedan,93.7,157.3,63.8,50.6,98,3.03,3.39,102,5500,24,30,8558
29,dodge,gas,wagon,103.3,174.6,64.6,59.8,122,3.34,3.46,88,5000,24,30,8921
30,dodge,gas,hatchback,95.9,173.2,66.3,50.2,156,3.6,3.9,145,5000,19,24,12964
31,honda,gas,hatchback,86.6,144.6,63.9,50.8,92,2.91,3.41,58,4800,49,54,6479
32,honda,gas,hatchback,86.6,144.6,63.9,50.8,92,2.91,3.41,76,6000,31,38,6855
33,honda,gas,hatchback,93.7,150,64,52.6,79,2.91,3.07,60,5500,38,42,5399
34,honda,gas,hatchback,93.7,150,64,52.6,92,2.91,3.41,76,6000,30,34,6529
35,honda,gas,hatchback,93.7,150,64,52.6,92,2.91,3.41,76,6000,30,34,7129
36,honda,gas,sedan,96.5,163.4,64,54.5,92,2.91,3.41,76,6000,30,34,7295
37,honda,gas,wagon,96.5,157.1,63.9,58.3,92,2.92,3.41,76,6000,30,34,7295
38,honda,gas,hatchback,96.5,167.5,65.2,53.3,110,3.15,3.58,86,5800,27,33,7895
39,honda,gas,hatchback,96.5,167.5,65.2,53.3,110,3.15,3.58,86,5800,27,33,9095
40,honda,gas,sedan,96.5,175.4,65.2,54.1,110,3.15,3.58,86,5800,27,33,8845
41,honda,gas,sedan,96.5,175.4,62.5,54.1,110,3.15,3.58,86,5800,27,33,10295
42,honda,gas,sedan,96.5,175.4,65.2,54.1,110,3.15,3.58,101,5800,24,28,12945
43,honda,gas,sedan,96.5,169.1,66,51,110,3.15,3.58,100,5500,25,31,10345
44,isuzu,gas,sedan,94.3,170.7,61.8,53.5,111,3.31,3.23,78,4800,24,29,6785
45,isuzu,gas,sedan,94.5,155.9,63.6,52,90,3.03,3.11,70,5400,38,43,8916.5
46,isuzu,gas,sedan,94.5,155.9,63.6,52,90,3.03,3.11,70,5400,38,43,8916.5
47,isuzu,gas,hatchback,96,172.6,65.2,51.4,119,3.43,3.23,90,5000,24,29,11048
48,jaguar,gas,sedan,113,199.6,69.6,52.8,258,3.63,4.17,176,4750,15,19,32250
49,jaguar,gas,sedan,113,199.6,69.6,52.8,258,3.63,4.17,176,4750,15,19,35550
50,jaguar,gas,sedan,102,191.7,70.6,47.8,326,3.54,2.76,262,5000,13,17,36000
51,mazda,gas,hatchback,93.1,159.1,64.2,54.1,91,3.03,3.15,68,5000,30,31,5195
52,mazda,gas,hatchback,93.1,159.1,64.2,54.1,91,3.03,3.15,68,5000,31,38,6095
53,mazda,gas,hatchback,93.1,159.1,64.2,54.1,91,3.03,3.15,68,5000,31,38,6795
54,mazda,gas,sedan,93.1,166.8,64.2,54.1,91,3.03,3.15,68,5000,31,38,6695
55,mazda,gas,sedan,93.1,166.8,64.2,54.1,91,3.08,3.15,68,5000,31,38,7395
56,mazda,gas,hatchback,95.3,169,65.7,49.6,70,3.33,3.255,101,6000,17,23,10945
57,mazda,gas,hatchback,95.3,169,65.7,49.6,70,3.33,3.255,101,6000,17,23,11845
58,mazda,gas,hatchback,95.3,169,65.7,49.6,70,3.33,3.255,101,6000,17,23,13645
59,mazda,gas,hatchback,95.3,169,65.7,49.6,80,3.33,3.255,135,6000,16,23,15645
60,mazda,gas,hatchback,98.8,177.8,66.5,53.7,122,3.39,3.39,84,4800,26,32,8845
61,mazda,gas,sedan,98.8,177.8,66.5,55.5,122,3.39,3.39,84,4800,26,32,8495
62,mazda,gas,hatchback,98.8,177.8,66.5,53.7,122,3.39,3.39,84,4800,26,32,10595
63,mazda,gas,sedan,98.8,177.8,66.5,55.5,122,3.39,3.39,84,4800,26,32,10245
64,mazda,diesel,sedan,98.8,177.8,66.5,55.5,122,3.39,3.39,64,4650,36,42,10795
65,mazda,gas,hatchback,98.8,177.8,66.5,55.5,122,3.39,3.39,84,4800,26,32,11245
66,mazda,gas,sedan,104.9,175,66.1,54.4,140,3.76,3.16,120,5000,19,27,18280
67,mazda,diesel,sedan,104.9,175,66.1,54.4,134,3.43,3.64,72,4200,31,39,18344
68,buick,diesel,sedan,110,190.9,70.3,56.5,183,3.58,3.64,123,4350,22,25,25552
69,buick,diesel,wagon,110,190.9,70.3,58.7,183,3.58,3.64,123,4350,22,25,28248
70,buick,diesel,hardtop,106.7,187.5,70.3,54.9,183,3.58,3.64,123,4350,22,25,28176
71,buick,diesel,sedan,115.6,202.6,71.7,56.3,183,3.58,3.64,123,4350,22,25,31600
72,buick,gas,sedan,115.6,202.6,71.7,56.5,234,3.46,3.1,155,4750,16,18,34184
73,buick,gas,convertible,96.6,180.3,70.5,50.8,234,3.46,3.1,155,4750,16,18,35056
74,buick,gas,sedan,120.9,208.1,71.7,56.7,308,3.8,3.35,184,4500,14,16,40960
75,buick,gas,hardtop,112,199.2,72,55.4,304,3.8,3.35,184,4500,14,16,45400
76,mercury,gas,hatchback,102.7,178.4,68,54.8,140,3.78,3.12,175,5000,19,24,16503
77,mitsubishi,gas,hatchback,93.7,157.3,64.4,50.8,92,2.97,3.23,68,5500,37,41,5389
78,mitsubishi,gas,hatchback,93.7,157.3,64.4,50.8,92,2.97,3.23,68,5500,31,38,6189
79,mitsubishi,gas,hatchback,93.7,157.3,64.4,50.8,92,2.97,3.23,68,5500,31,38,6669
80,mitsubishi,gas,hatchback,93,157.3,63.8,50.8,98,3.03,3.39,102,5500,24,30,7689
81,mitsubishi,gas,hatchback,96.3,173,65.4,49.4,110,3.17,3.46,116,5500,23,30,9959
82,mitsubishi,gas,hatchback,96.3,173,65.4,49.4,122,3.35,3.46,88,5000,25,32,8499
83,mitsubishi,gas,hatchback,95.9,173.2,66.3,50.2,156,3.58,3.86,145,5000,19,24,12629
84,mitsubishi,gas,hatchback,95.9,173.2,66.3,50.2,156,3.59,3.86,145,5000,19,24,14869
85,mitsubishi,gas,hatchback,95.9,173.2,66.3,50.2,156,3.59,3.86,145,5000,19,24,14489
86,mitsubishi,gas,sedan,96.3,172.4,65.4,51.6,122,3.35,3.46,88,5000,25,32,6989
87,mitsubishi,gas,sedan,96.3,172.4,65.4,51.6,122,3.35,3.46,88,5000,25,32,8189
88,mitsubishi,gas,sedan,96.3,172.4,65.4,51.6,110,3.17,3.46,116,5500,23,30,9279
89,mitsubishi,gas,sedan,96.3,172.4,65.4,51.6,110,3.17,3.46,116,5500,23,30,9279
90,nissan,gas,sedan,94.5,165.3,63.8,54.5,97,3.15,3.29,69,5200,31,37,5499
91,nissan,diesel,sedan,94.5,165.3,63.8,54.5,103,2.99,3.47,55,4800,45,50,7099
92,nissan,gas,sedan,94.5,165.3,63.8,54.5,97,3.15,3.29,69,5200,31,37,6649
93,nissan,gas,sedan,94.5,165.3,63.8,54.5,97,3.15,3.29,69,5200,31,37,6849
94,nissan,gas,wagon,94.5,170.2,63.8,53.5,97,3.15,3.29,69,5200,31,37,7349
95,nissan,gas,sedan,94.5,165.3,63.8,54.5,97,3.15,3.29,69,5200,31,37,7299
96,nissan,gas,hatchback,94.5,165.6,63.8,53.3,97,3.15,3.29,69,5200,31,37,7799
97,nissan,gas,sedan,94.5,165.3,63.8,54.5,97,3.15,3.29,69,5200,31,37,7499
98,nissan,gas,wagon,94.5,170.2,63.8,53.5,97,3.15,3.29,69,5200,31,37,7999
99,nissan,gas,hardtop,95.1,162.4,63.8,53.3,97,3.15,3.29,69,5200,31,37,8249
100,nissan,gas,hatchback,97.2,173.4,65.2,54.7,120,3.33,3.47,97,5200,27,34,8949
101,nissan,gas,sedan,97.2,173.4,65.2,54.7,120,3.33,3.47,97,5200,27,34,9549
102,nissan,gas,sedan,100.4,181.7,66.5,55.1,181,3.43,3.27,152,5200,17,22,13499
103,nissan,gas,wagon,100.4,184.6,66.5,56.1,181,3.43,3.27,152,5200,17,22,14399
104,nissan,gas,sedan,100.4,184.6,66.5,55.1,181,3.43,3.27,152,5200,19,25,13499
105,nissan,gas,hatchback,91.3,170.7,67.9,49.7,181,3.43,3.27,160,5200,19,25,17199
106,nissan,gas,hatchback,91.3,170.7,67.9,49.7,181,3.43,3.27,200,5200,17,23,19699
107,nissan,gas,hatchback,99.2,178.5,67.9,49.7,181,3.43,3.27,160,5200,19,25,18399
108,peugeot,gas,sedan,107.9,186.7,68.4,56.7,120,3.46,3.19,97,5000,19,24,11900
109,peugeot,diesel,sedan,107.9,186.7,68.4,56.7,152,3.7,3.52,95,4150,28,33,13200
110,peugeot,gas,wagon,114.2,198.9,68.4,58.7,120,3.46,3.19,97,5000,19,24,12440
111,peugeot,diesel,wagon,114.2,198.9,68.4,58.7,152,3.7,3.52,95,4150,25,25,13860
112,peugeot,gas,sedan,107.9,186.7,68.4,56.7,120,3.46,2.19,95,5000,19,24,15580
113,peugeot,diesel,sedan,107.9,186.7,68.4,56.7,152,3.7,3.52,95,4150,28,33,16900
